   7.310,  30.950,  11.700,  38.450,  13.490,  19.080,  18.500,  48.330,  33.850,  96.000,  22.280,   5.920,  28.500,  25.380,  11.200,   9.100,  89.950,  45.450,  10.070, 
   7.480,  29.250,  10.290,  36.360,  12.880,  17.480,  16.980,  44.990,  32.500,  93.400,  20.670,   5.750,  27.370,  24.855,  11.310,   8.470,  90.300,  45.300,   9.970, 
   7.480,  29.850,  10.340,  36.360,  12.090,  16.630,  17.870,  43.790,  30.370,  90.500,  19.300,   5.310,  27.080,  26.005,  10.760,   7.960,  83.000,  44.660,   8.680, 
   7.460,  32.500,  11.020,  39.000,  12.560,  18.600,  17.900,  46.780,  31.300,  94.900,  21.310,   5.800,  26.720,  25.650,  12.520,   8.730,  85.050,  47.280,   9.250, 
   7.090,  32.800,  10.790,  39.050,  12.600,  19.160,  17.460,  46.890,  35.200,  94.450,  21.680,   5.740,  26.340,  25.135,  12.250,   8.690,  89.750,  48.400,   9.280, 
   6.350,  32.180,   9.940,  39.300,  12.230,  18.160,  17.440,  44.040,  35.500,  91.300,  20.900,   5.580,  26.250,  24.980,  12.200,   8.440,  88.950,  49.480,   8.110, 
   6.200,  32.350,   9.280,  39.870,  11.240,  18.040,  17.550,  45.110,  35.480,  90.000,  20.550,   5.500,  27.000,  25.585,  12.040,   7.910,  93.500,  49.390,   9.110, 
   5.970,  33.100,   9.590,  40.500,  12.180,  18.530,  18.620,  45.750,  35.950,  92.300,  20.440,   5.730,  27.140,  25.895,  12.580,   8.270,  96.500,  49.500,   8.810, 
   6.010,  32.770,   9.290,  41.750,  11.900,  18.710,  18.020,  46.970,  37.200,  92.710,  20.010,   5.700,  27.330,  26.525,  12.580,   8.130,  95.100,  49.760,   9.090, 
   6.080,  32.900,  10.080,  42.250,  11.480,  18.540,  19.000,  47.490,  37.640,  93.770,  19.540,   5.820,  27.620,  28.115,  12.600,   8.010,  98.000,  52.000,   9.240, 
   6.760,  34.310,  12.600,  43.480,  13.950,  20.640,  19.910,  49.950,  38.050,  96.950,  21.230,   6.200,  28.650,  28.220,  13.660,   9.000,  99.700,  52.730,   9.910, 
